locusId,sysName,desc,Time 0,No phage 16 hours,No phage 24 hours,No phage 36 hours,,,phyto11 MOI 10 16 hours,phyto11 MOI 10 24 hours,phyto11 MOI 10 36 hours,phyto11 MOI 1 16 hours,phyto11 MOI 1 24 hours,phyto11 MOI 1 36 hours,phyto11 MOI 0.1 16 hours,phyto11 MOI 0.1 24 hours,phyto11 MOI 0.1 36 hours,,phyto5 MOI 10 16 hours,phyto5 MOI 10 24 hours,phyto5 MOI 10 36 hours,phyto5 MOI 1 16 hours,phyto5 MOI 1 24 hours,phyto5 MOI 1 36 hours,phyto5 MOI 0.1 16 hours,phyto5 MOI 0.1 24 hours,phyto5 MOI 0.1 36 hours,,phyto7 MOI 10 16 hours,phyto7 MOI 10 24 hours,phyto7 MOI 10 36 hours,phyto7 MOI 1 16 hours,phyto7 MOI 1 24 hours,phyto7 MOI 1 36 hours,phyto7 MOI 0.1 16 hours,phyto7 MOI 0.1 24 hours,phyto7 MOI 0.1 36 hours,,phyto8 MOI 10 16 hours,phyto7 MOI 10 24 hours,phyto7 MOI 10 36 hours,phyto7 MOI 1 16 hours,phyto7 MOI 1 24 hours,phyto7 MOI 1 36 hours,phyto7 MOI 0.1 16 hours,phyto7 MOI 0.1 24 hours,phyto7 MOI 0.1 36 hours,,phyto9 MOI 10 16 hours,phyto9 MOI 10 24 hours,phyto9 MOI 10 36 hours,phyto9 MOI 1 16 hours,phyto9 MOI 1 24 hours,phyto9 MOI 1 36 hours,phyto9 MOI 0.1 16 hours,phyto9 MOI 0.1 24 hours,phyto9 MOI 0.1 36 hours,,Phyto1 MOI 10 16 hours,Phyto1 MOI 10 24 hours,Phyto1 MOI 10 36 hours,Phyto1 MOI 1 16 hours,Phyto1 MOI 1 24 hours,Phyto1 MOI 1 36 hours,Phyto1 MOI 0.1 16 hours,Phyto1 MOI 0.1 24 hours,Phyto1 MOI 0.1 36 hours,,Phyto2 MOI 10 16 hours,Phyto2 MOI 10 24 hours,Phyto2 MOI 10 36 hours,Phyto2 MOI 1 16 hours,Phyto2 MOI 1 24 hours,Phyto2 MOI 1 36 hours,Phyto2 MOI 0.1 16 hours,Phyto2 MOI 0.1 24 hours,Phyto2 MOI 0.1 36 hours,,Phyto3 MOI 10 16 hours,Phyto3 MOI 10 24 hours,Phyto3 MOI 10 36 hours,Phyto3 MOI 1 16 hours,Phyto3 MOI 1 24 hours,Phyto3 MOI 1 36 hours,Phyto3 MOI 0.1 16 hours,Phyto3 MOI 0.1 24 hours,Phyto3 MOI 0.1 36 hours,,phyto10 MOI 10 16 hours,phyto10 MOI 10 24 hours,phyto10 MOI 10 36 hours,phyto10 MOI 1 16 hours,phyto10 MOI 1 24 hours,phyto10 MOI 1 36 hours,phyto10 MOI 0.1 16 hours,phyto10 MOI 0.1 24 hours,phyto10 MOI 0.1 36 hours,,Phyto4 MOI 10 16 hours,Phyto4 MOI 10 24 hours,Phyto4 MOI 10 36 hours,Phyto4 MOI 1 16 hours,Phyto4 MOI 1 24 hours,Phyto4 MOI 1 36 hours,Phyto4 MOI 0.1 16 hours,Phyto4 MOI 0.1 24 hours,Phyto4 MOI 0.1 36 hours,,Phyto6 MOI 10 16 hours,Phyto6 MOI 10 24 hours,Phyto6 MOI 10 36 hours,Phyto6 MOI 1 16 hours,Phyto6 MOI 1 24 hours,Phyto6 MOI 1 36 hours,Phyto6 MOI 0.1 16 hours,Phyto6 MOI 0.1 24 hours,Phyto6 MOI 0.1 36 hours
BPHYT_RS04300,BPHYT_RS04300,family 2 glycosyl transferase,-0.024565359,-0.169923908,-0.044306051,-0.083635856,,,2.134968315,1.507944683,1.505929392,0.025963125,0.325671711,0.257534284,-0.507178596,0.10527197,-0.087167762,,2.274977256,1.914394411,2.286080788,2.877111899,2.262836263,3.113249551,2.709363431,2.326046194,2.221180972,,1.499927639,1.719198161,2.254774547,0.74301112,0.460142798,0.620175541,0.01839071,-0.155441602,0.034306739,,2.401311343,0.459736212,0.8596432,1.14264644,-0.089836868,0.450791864,0.09222447,-0.280627269,-0.113432502,,0.053160409,1.003091199,1.33597344,-0.346306855,0.161142046,0.246774245,-0.322699466,0.056103412,-0.273857525,,3.739068046,0.28539984,0.293180848,0.753421358,-0.306349067,-0.161759413,-0.135300208,-0.239529988,-0.03033594,,5.138861725,2.837924766,4.004398215,2.995875442,0.486080913,1.123958468,0.660680537,0.13053613,0.113271704,,1.546580221,1.752912168,2.070871614,4.307503862,0.150739791,0.532551749,0.977205773,-0.088392888,0.072671839,,3.017108513,0.417430728,0.97592031,0.943577329,-0.081314418,0.074283807,0.174865615,-0.113033839,-0.054053044,,2.799597109,2.387599396,2.718494135,0.983901922,0.685740601,0.679308753,0.018125511,-0.00838638,0.089016997,,4.493077782,1.695364274,2.56130625,2.739653934,0.282077199,0.733702992,0.898713088,-0.244084559,0.016212727
BPHYT_RS04315,BPHYT_RS04315,UDP-N-acetylglucosamine 2-epimerase,-0.011263323,-0.041443694,-0.011570007,0.167966867,,,2.313337406,1.697001959,1.814206259,0.178317293,0.072313201,0.431427137,-0.50703656,0.075656575,0.189253035,,2.104577415,2.32280835,2.444916946,2.774074156,2.740190749,3.394539876,2.383946287,2.682599292,2.45611904,,1.858780478,1.436294812,2.004179931,0.650722261,0.269723151,1.04584999,0.195992552,0.219076358,0.160058621,,1.919106717,0.743437131,0.926508713,1.23005939,0.357804383,0.40056083,0.20305183,0.239112493,0.473245642,,-0.31312118,1.235920753,1.670300029,-0.080878674,0.193908741,0.27746956,-0.304592689,0.380387428,0.185264905,,4.258419649,0.434062767,0.551403408,1.092672214,0.254678023,0.375289965,0.213107092,-0.071100163,0.086822081,,4.921211917,3.085097389,4.244786594,3.211595457,1.353705036,1.469041022,0.873570438,0.138851992,0.495519053,,0.774895757,2.164607599,2.709299049,4.666118541,0.468722488,0.718000824,1.259917585,0.201762759,0.397399051,,3.650360212,0.990478453,1.443675977,1.162900227,0.367078662,0.185538061,0.241837961,-0.121913646,-0.028726596,,3.140741405,2.803854714,3.228384038,0.909081676,0.90393408,1.177601508,0.2516564,0.174512382,0.435573531,,4.766271684,2.216217329,3.00840312,3.114781986,0.562749421,1.027727626,0.769129031,0.198086717,0.429461885
BPHYT_RS04320,BPHYT_RS04320,hypothetical protein,-0.000799616,0.01360123,-0.032597413,0.071161911,,,-1.529706735,-1.97081266,-2.087282891,-1.194096157,-1.486774316,-1.844466024,-0.192772244,-0.284970766,-0.084479377,,2.443347524,2.178149604,2.467369707,2.818681899,2.604748482,3.327421636,2.841785072,2.604627389,2.152583599,,0.017485333,0.147667503,0.09133106,0.388622782,-0.049925288,-0.077992793,-0.102464404,0.006403212,0.025871204,,0.047887731,-0.251541387,-0.142178216,0.220106325,0.06829512,-0.050556156,-0.166547393,0.326427966,-0.137484336,,0.021805407,-0.116653517,-0.403407559,0.082615458,-0.140781876,0.06258889,0.154687439,0.072078809,-0.112112119,,4.017245566,0.386155142,0.588768479,1.176213153,-0.323126977,-0.066758379,0.029258069,0.004459964,-0.064493946,,0.051645805,-0.001394121,-0.222768351,0.134286804,-0.046536312,-0.071077006,0.016962555,0.059981651,0.080741668,,0.06013111,1.589639904,2.085802677,3.513365312,0.200679416,0.415857697,1.070122332,-0.061673686,-0.024425283,,-1.418500946,-2.707829668,-2.888661558,-2.019175719,-1.409457575,-1.294029384,-1.093706849,-0.232842024,-0.428791923,,-0.700601008,-0.649569493,-0.480927598,-0.571744271,-0.438811275,-0.393155403,-0.035314401,-0.007694746,-0.108420335,,-0.211878621,-0.167949613,-0.233070769,-0.315845512,-0.357905994,-0.011473871,0.23567632,-0.224163578,0.053721408
BPHYT_RS04340,BPHYT_RS04340,hypothetical protein,-0.105177743,0.077419858,-0.224620922,-0.511403728,,,0.147966581,-0.389034485,-0.626187548,-0.858111943,-1.486591447,-1.866072879,-1.131883967,-1.688726991,-1.099509472,,2.729088416,1.68627222,1.573993284,2.491003619,2.594489384,2.474285033,2.844951535,1.730707113,1.429566713,,-0.040920362,0.565403265,0.253619743,-0.581771538,-0.270322604,-0.653048169,-0.973662341,-1.235569326,-1.717250787,,1.207583078,0.350511401,-0.391164988,-0.098481919,-1.68181999,-1.971487538,-1.273114312,-1.222251849,-0.999303126,,-1.112768172,-0.801271368,-0.166485442,0.30793689,-0.616879065,-1.505836603,-0.360018097,-1.428553275,-1.062511347,,4.137715536,-0.440511736,0.186963402,-0.191558725,-0.083065515,0.40443473,-0.343583281,-0.146713128,-0.520365794,,2.08233834,1.432956405,1.902829989,1.911134439,1.059305169,0.670449768,0.62916456,-0.179898336,0.07172953,,0.308779849,1.356990192,1.768388494,2.281926882,0.360846246,-0.996022034,0.17478319,-0.00260081,0.160302743,,1.530361798,0.034146494,0.298637991,-0.419284554,-0.420481297,-1.041368134,-0.811028793,0.034504362,-0.620008519,,1.863205043,2.15328654,3.042986764,0.013965105,0.282928759,1.064022351,-0.208054273,-0.404420347,0.726538737,,3.097702677,2.320700912,2.553630407,2.31914605,0.677184496,0.531398019,-0.320844749,0.237898719,-0.910760278
BPHYT_RS04350,BPHYT_RS04350,membrane protein,0.012083074,-0.17230496,-0.221910917,0.007989494,,,-1.956665433,-2.700842527,-2.545345639,-3.686157402,-3.27388048,-3.05850208,-2.451815772,-2.496300261,-2.991280651,,0.058547348,-0.017751322,-0.111995198,0.193902484,-0.117660844,0.050216231,0.034553427,0.005293592,-0.079834701,,0.200477349,0.650449541,0.817035356,-1.274197603,-1.107622237,-1.432834944,-2.300045354,-2.053806392,-2.624209509,,0.473335599,-1.029611936,-1.343467592,-1.191065225,-1.889426603,-2.552394738,-2.092176424,-1.738316077,-1.920763756,,-2.675607639,-0.788626419,-1.056792955,-0.931551543,-2.08300862,-1.964780423,-0.193631093,-2.14434923,-2.43110082,,4.108228881,0.2068371,0.518434949,0.98028571,-0.123201058,-0.069093446,-0.196562023,0.035223294,-0.054866849,,5.605310384,3.157224919,4.170142031,3.330340276,0.877215519,1.018569755,0.778172051,0.011763291,0.018380687,,-0.061939525,-0.956026624,-1.090973944,-0.768945039,-0.514311372,-0.305454594,-0.99764021,0.053971175,0.004281129,,0.039884364,-0.134928357,-0.170357148,-0.042046941,-0.017129493,-0.080354384,-0.160834601,-0.224121656,-0.047951206,,0.319571725,0.038711933,-0.556106255,-0.022109479,-0.236776281,-0.034419662,-0.28526864,-0.144171904,-0.149916239,,0.304299749,-0.123349851,-0.025068898,-0.185560503,0.053700377,-0.178574532,0.016202804,-0.075593876,-0.16833998
BPHYT_RS04385,BPHYT_RS04385,nucleoside-diphosphate sugar oxidoreductase,-0.023657025,0.136471314,0.148428991,0.272303642,,,2.547757992,1.741589426,0.185942379,-0.099001683,0.712127958,0.146013198,-0.500448174,-0.415133129,0.117669097,,0.845130985,1.474154791,0.618303618,2.314620852,0.834392864,2.06269961,1.861206384,1.062797881,1.598788142,,1.74721487,1.648640582,2.101952852,-0.075516943,0.675234861,1.068323499,0.090845084,0.633579155,0.01114758,,2.629679057,0.771843835,0.610854742,1.341048854,-0.082622413,0.30006892,0.519209867,0.235190846,-0.4481192,,0.501111333,1.361311903,1.890350013,-0.381322745,0.674385543,0.92326723,0.347500399,0.395727286,0.382296481,,4.071192144,0.440168245,0.474650145,0.417645259,-0.437990221,0.007070206,0.041164136,0.945134956,0.714294003,,6.23492351,2.0803129,2.48937284,3.264950718,0.517831834,0.808675234,0.813978863,0.538127866,0.64012965,,0.810494989,2.203608587,3.113673533,3.993871827,0.685287746,0.432148654,1.008008328,0.463387204,0.101206077,,3.052641216,1.02289515,1.326384817,1.08322953,0.262380853,-0.362823826,-0.037074113,0.693306671,0.505492552,,3.676956494,2.30846753,3.2419354,0.233479233,0.598281212,1.538316613,-0.088069454,0.008141289,0.183214928,,4.838278331,2.166370649,2.494883077,2.469189976,0.438854423,0.251206942,0.242281473,0.128496862,-0.093924197
BPHYT_RS06175,BPHYT_RS06175,LPS biosynthesis,-0.028235264,0.233252262,1.13452211,0.917011666,,,1.960535003,3.691129767,2.971048835,0.538086247,2.178733899,1.403180879,0.608035938,1.857372705,1.677585076,,3.169436191,3.91400049,4.634663819,3.718582877,3.849598863,5.172828921,4.201594036,4.006746745,5.491627548,,3.386492813,3.246567606,4.100734163,0.416434017,2.399707969,2.241965115,0.592679735,0.900089,0.862809587,,3.562029613,2.374536368,1.903797568,2.001700108,2.184585112,1.578652286,0.654078788,1.15586818,1.358222066,,0.227531689,2.64983749,2.791036615,-0.246381786,1.638178771,1.49195154,0.470663759,1.58407063,1.429454772,,4.875304472,1.490453047,1.535090942,1.022703767,0.938027118,1.358909628,0.060296728,0.963393816,1.555947395,,6.074644043,4.5969845,6.426386755,3.553824953,2.176310298,3.27818964,1.11077204,1.491992591,1.528353746,,2.151300083,3.85896586,4.780079827,5.489459814,2.153663813,2.043873594,1.010047924,1.22487792,1.658825187,,4.122887604,1.809243476,2.464188587,1.354872984,1.585047275,1.349598562,-0.42092501,1.129271803,1.321639519,,4.389364887,3.92163408,4.595952527,1.346217773,2.160988314,2.213972656,0.587925501,1.196717974,1.658913447,,5.785300312,3.412873926,5.266571398,3.162829269,1.53173144,2.469121613,2.022277019,1.144366573,1.584485104
BPHYT_RS06195,BPHYT_RS06195,membrane protein,-0.028671213,-0.142706868,-0.155379758,0.298612706,,,2.405394607,0.919536588,1.33746763,-0.659622116,0.207630887,0.644330952,-0.406110941,0.17276946,-0.079128359,,0.221744399,0.064987962,1.058408955,-0.507775858,0.83449274,0.292302707,0.158688255,0.167430303,-0.599192235,,0.846899286,1.541121957,2.186142467,1.200947089,-0.093215394,1.088793445,-1.151828141,0.528197591,0.494317436,,1.811570194,0.011570281,1.630599651,-0.141656908,0.081520763,0.42247703,0.398647641,-0.609094481,-0.296004409,,-0.129868924,2.04342621,1.768664142,-1.128987886,0.062269794,-0.216595217,0.039025424,0.348144348,0.516367512,,4.228910331,0.033872345,0.737024111,1.76807462,0.386750097,0.376168945,0.72340236,0.449223599,-3.46351E-05,,5.333053842,3.413837576,4.965788223,3.034446943,1.145624303,1.318356792,0.801198432,0.280863414,0.395536641,,1.010652805,2.003872969,1.898141223,3.847962131,-0.187925486,0.678250974,1.348643998,0.04824259,0.274233463,,3.300014947,0.984009389,1.06013889,1.479046217,0.138013573,-0.431739265,-0.249910544,-0.876130769,-0.32665756,,2.527289025,2.725917445,3.75621934,0.264945928,0.58533081,1.382131334,-0.594888529,0.568051105,-0.007059447,,5.013114035,1.842521685,2.106935794,1.844107319,0.626843808,1.348376805,-0.88834658,-0.21302982,0.015565514
BPHYT_RS06530,BPHYT_RS06530,membrane protein,-0.039692753,1.101228519,2.276726779,1.77808722,,,3.905365534,2.748033866,3.083929465,1.91383188,2.55739198,2.491130476,1.528990524,1.901397478,1.982336487,,0.934361611,3.374751304,4.562300185,2.398152917,3.609242518,3.712550229,1.38924262,3.463070515,4.442185998,,4.127879425,3.655688504,4.61933953,1.061627113,2.299172786,2.818655333,1.279008701,1.83039558,2.077004903,,2.350199638,2.285594755,2.673950638,1.35068707,2.160438576,2.139535962,0.592639528,2.073185973,1.083716421,,2.38457012,2.073585637,1.273993209,0.363736911,1.736769036,1.906487727,2.846747735,1.926399132,1.901902563,,-1.552943307,0.025127707,-0.536048015,-1.763494585,1.010911157,1.985532771,-0.613094396,1.93652943,1.813020496,,-1.226477561,0.545229432,0.515706756,-1.17737662,1.521087049,2.136025618,-1.311787224,1.709877581,1.922263821,,0.545214469,-0.640664707,2.112033256,-0.412170928,1.812683851,2.127757329,-1.431395014,1.361570542,1.741988824,,5.125688918,0.266046624,0.295198228,3.195722849,2.318613632,2.140207855,2.793117187,1.586552969,1.974622808,,5.553626281,1.938880794,1.907602739,3.227020656,2.572813596,2.548098747,2.269459647,2.697863396,1.759898676,,4.891849611,2.554472663,3.47095658,4.347004433,2.644869151,2.795103381,2.676106358,2.163265432,1.630595885
BPHYT_RS09500,BPHYT_RS09500,glucose-6-phosphate isomerase,0.05024313,0.66047377,1.431871138,1.626434515,,,3.327735576,3.066075777,2.91018221,1.36835172,1.745399041,1.917621116,0.345383464,1.486274186,1.753957882,,3.540567708,3.455487279,4.330466585,4.184172447,3.767410496,5.016363708,4.015842014,3.695810216,4.525399894,,3.107287838,3.092175789,4.59378629,2.070039383,2.101146406,2.784964277,0.799088189,1.491526285,1.065368969,,3.39770342,1.827826207,2.571833788,2.305551094,1.49204685,1.593058544,1.27407557,1.324894697,1.805672031,,0.695729909,2.298815583,3.029372328,1.015895066,1.834713775,1.732649755,0.687146124,1.222018292,1.456477451,,5.011926232,1.737143679,2.170638096,1.842145819,1.480358824,1.983681732,0.678552969,1.406715122,2.144751198,,6.261744056,4.556734364,6.015059557,4.110707461,2.731074681,3.419597703,1.720690152,1.696505437,1.741558963,,2.128112299,3.778231111,4.792351922,5.467497835,2.148282296,2.561171602,2.051218283,1.357457635,1.857633782,,4.511274577,1.914317156,2.972847416,2.524722464,1.70871695,2.082497287,0.837194664,1.574798284,1.775885755,,4.273191318,4.158876473,4.901442272,2.35664594,2.230763534,2.983398923,1.313365877,1.697719617,2.187331629,,6.053208898,3.503517012,5.328486025,3.803784711,2.04239582,2.943117688,2.082310025,1.549121709,1.92030867
